time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
5.984,100,108.811,-8.81097,-3.34242,-161.706,-0.220274,3.36027,2.91973
6.016,100,105.983,-5.98302,-3.43815,176.747,-0.149576,3.28958,2.99042
6.048,100,118.028,-18.0277,-3.72659,-752.791,-0.450692,3.59069,2.68931
6.08,100,113.842,-13.8418,-3.94806,261.616,-0.346046,3.48605,2.79395
6.112,100,113.379,-13.3788,-4.16212,28.9369,-0.334471,3.47447,2.80553
6.144,100,115.176,-15.1757,-4.40494,-112.307,-0.379394,3.51939,2.76061
6.176,100,112.679,-12.6793,-4.6078,156.031,-0.316981,3.45698,2.82302
6.208,100,132.805,-32.8046,-5.13268,-1257.83,-0.820115,3.96011,2.31989
6.24,100,133.644,-33.6438,-5.67098,-52.4507,-0.841095,3.9811,2.2989
6.272,100,143.007,-43.0072,-6.35909,-585.21,-1.07518,4.21518,2.06482
6.304,100,153.663,-53.6635,-7.21771,-666.02,-1.34159,4.48159,1.79841
6.336,100,154.332,-54.3324,-8.08703,-41.8093,-1.35831,4.49831,1.78169
6.368,100,180.038,-80.0382,-9.36764,-1606.61,-2.00095,5.14095,1.13905
6.4,100,172.636,-72.6361,-10.5298,462.633,-1.8159,4.9559,1.3241
6.432,100,194.768,-94.7682,-12.0461,-1383.26,-2.3692,5.5092,0.770795
6.464,100,208.819,-108.819,-13.7872,-878.169,-2.72047,5.86047,0.419528
6.496,100,211.98,-111.98,-15.5789,-197.561,-2.7995,5.9395,0.340503
6.528,100,221.237,-121.237,-17.5187,-578.598,-3.03094,6,0.109064
6.56,100,207.18,-107.18,-19.2336,878.597,-2.6795,5.8195,0.460502
6.592,100,208.994,-108.994,-20.9775,-113.392,-2.72485,5.86485,0.415146
6.624,100,209.328,-109.328,-22.7267,-20.8713,-2.7332,5.8732,0.406797
6.656,100,203.012,-103.012,-24.3749,394.75,-2.5753,5.7153,0.564697
6.688,100,211.284,-111.284,-26.1555,-516.984,-2.7821,5.9221,0.357903
