time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
9.344,80,80.7609,-0.76088,0,-41.4968,-0.401276,3.54128,2.73872,-12.1378
9.376,80,86.143,-6.14302,0,-224.256,-2.19293,5.33293,0.947067,-12.1173
9.408,80,87.3218,-7.32182,0,-49.1166,-0.552014,3.69201,2.58799,-12.101
9.44,80,80.9058,-0.905784,0,267.335,2.51544,0.624557,5.65544,-12.0631
9.472,80,74.7099,5.29014,0,258.164,2.50313,0.636872,5.64313,-12.0045
9.504,80,83.552,-3.55204,0,-368.424,-3.52424,6,-0.384236,-11.976
9.536,80,76.534,3.46596,0,292.417,2.80493,0.335068,5.94493,-11.9242
9.568,80,78.084,1.91598,0,-64.5826,-0.587314,3.72731,2.55269,-11.8779
9.6,80,78.0525,1.94754,0,1.31496,0.0357969,3.1042,3.1758,-11.8318
9.632,80,85.862,-5.86198,0,-325.397,-3.14534,6,-0.00534126,-11.812
9.664,80,82.6241,-2.62412,0,134.911,1.24341,1.89659,4.38341,-11.7816
9.696,80,92.3924,-12.3924,0,-407.012,-3.99497,6,-0.854973,-11.7836
9.728,80,88.1756,-8.17564,0,175.699,1.56225,1.57775,4.70225,-11.7717
9.76,80,88.8847,-8.88471,0,-29.5445,-0.385812,3.52581,2.75419,-11.7622
9.792,80,81.5688,-1.56882,0,304.829,2.86181,0.278194,6.00181,-11.7289
9.824,80,84.8065,-4.80648,0,-134.903,-1.33251,4.47251,1.80749,-11.7064
9.856,80,80.9492,-0.949172,0,160.721,1.50742,1.63258,4.64742,-11.6714
9.888,80,87.5116,-7.51162,0,-273.435,-2.6741,5.8141,0.465895,-11.658
9.92,80,85.9866,-5.9866,0,63.5426,0.528639,2.61136,3.66864,-11.6397
9.952,80,85.1334,-5.13337,0,35.5514,0.27436,2.86564,3.41436,-11.6188
9.984,80,76.7076,3.29238,0,351.073,3.35714,-0.217144,6.28,-11.571
